open_time	pnl_15686	pnl_15687	delta	change_type	close_type_15686	close_type_15687	sl_source_15686	sl_source_15687
2026-01-30 00:00:00	55.21	280.00	224.79	shared_changed	????????	atr???????	NULL	NULL
2026-01-31 00:00:00	-117.88	0.00	117.88	removed_from_15687	Signal_Kline_Stop_Loss	NULL	KlineHammer_Volume_Confirmed	NULL
2026-02-05 00:00:00	-115.58	0.00	115.58	removed_from_15687	??????	NULL	NULL	NULL
2025-11-19 12:00:00	-104.26	0.00	104.26	removed_from_15687	??????	NULL	NULL	NULL
2025-11-17 00:00:00	-58.20	0.00	58.20	removed_from_15687	Signal_Kline_Stop_Loss	NULL	KlineHammer_Volume_Confirmed	NULL
2026-03-06 04:00:00	171.15	203.75	32.60	shared_changed	????????	????????	NULL	NULL
2025-02-26 20:00:00	-22.71	0.00	22.71	removed_from_15687	Signal_Kline_Stop_Loss	NULL	KlineHammer_Volume_Confirmed	NULL
2025-12-24 20:00:00	-21.09	0.00	21.09	removed_from_15687	Signal_Kline_Stop_Loss	NULL	Engulfing_Volume_Confirmed	NULL
2025-03-31 04:00:00	-14.09	0.00	14.09	removed_from_15687	Signal_Kline_Stop_Loss	NULL	Engulfing_Volume_Rejected	NULL
2024-09-01 12:00:00	-7.76	0.00	7.76	removed_from_15687	Signal_Kline_Stop_Loss	NULL	KlineHammer_Volume_Confirmed	NULL
2026-02-22 20:00:00	35.70	42.50	6.80	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	Engulfing_Volume_Confirmed	Engulfing_Volume_Confirmed
2022-06-26 20:00:00	7.38	14.10	6.72	shared_changed	????????	atr???????	NULL	NULL
2022-01-28 04:00:00	0.00	5.43	5.43	added_in_15687	NULL	??????	NULL	NULL
2025-11-23 20:00:00	141.42	146.35	4.93	shared_changed	??????	??????	NULL	NULL
2026-01-20 04:00:00	232.89	237.76	4.87	shared_changed	atr???????	atr???????	NULL	NULL
2022-08-02 16:00:00	25.87	30.41	4.54	shared_changed	??????	??????	NULL	NULL
2024-08-02 20:00:00	95.35	99.65	4.30	shared_changed	atr???????	atr???????	NULL	NULL
2026-03-09 08:00:00	21.04	25.04	4.01	shared_changed	??????	??????	NULL	NULL
2022-06-30 00:00:00	-3.82	0.00	3.82	removed_from_15687	??????	NULL	NULL	NULL
2022-06-15 16:00:00	-3.59	0.00	3.59	removed_from_15687	??????	NULL	NULL	NULL
2022-02-20 20:00:00	-3.50	0.00	3.50	removed_from_15687	??????	NULL	NULL	NULL
2022-08-18 00:00:00	19.18	22.55	3.37	shared_changed	atr???????	atr???????	NULL	NULL
2022-07-27 04:00:00	17.65	20.74	3.10	shared_changed	??????	??????	NULL	NULL
2025-10-10 00:00:00	-104.94	-101.86	3.08	shared_changed	??????	??????	NULL	NULL
2022-02-18 00:00:00	6.93	9.86	2.93	shared_changed	????????	atr???????	NULL	NULL
2025-12-07 20:00:00	76.38	79.04	2.66	shared_changed	??????????	??????????	NULL	NULL
2024-07-12 20:00:00	58.56	61.21	2.64	shared_changed	??????	??????	NULL	NULL
2022-11-08 04:00:00	24.75	27.24	2.48	shared_changed	atr???????	atr???????	NULL	NULL
2025-11-07 16:00:00	-84.71	-82.23	2.48	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	Engulfing_Volume_Rejected	Engulfing_Volume_Rejected
2025-12-15 20:00:00	69.49	71.91	2.42	shared_changed	????????	????????	NULL	NULL
2025-08-02 12:00:00	-77.75	-75.47	2.28	shared_changed	??????	??????	NULL	NULL
2023-12-01 08:00:00	49.70	51.95	2.24	shared_changed	??????	??????	NULL	NULL
2024-10-01 20:00:00	47.36	49.50	2.14	shared_changed	atr???????	atr???????	NULL	NULL
2026-01-22 00:00:00	101.33	103.45	2.12	shared_changed	????????	????????	NULL	NULL
2025-06-16 12:00:00	-71.24	-69.15	2.09	shared_changed	??????	??????	NULL	NULL
2025-09-13 00:00:00	-71.07	-68.98	2.08	shared_changed	??????	??????	NULL	NULL
2023-03-13 00:00:00	45.75	47.81	2.06	shared_changed	??????	??????	NULL	NULL
2022-09-15 16:00:00	11.36	13.35	1.99	shared_changed	????????	????????	NULL	NULL
2024-08-08 08:00:00	44.07	46.06	1.99	shared_changed	??????	??????	NULL	NULL
2024-04-05 08:00:00	43.99	45.98	1.98	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	Engulfing_Volume_Rejected	Engulfing_Volume_Rejected
2026-01-14 00:00:00	93.17	95.12	1.95	shared_changed	??????	??????	NULL	NULL
2025-12-01 04:00:00	55.57	57.51	1.94	shared_changed	??????????	??????????	NULL	NULL
2025-11-05 08:00:00	-65.20	-63.29	1.91	shared_changed	??????	??????	NULL	NULL
2022-07-15 00:00:00	10.51	12.35	1.85	shared_changed	??????	??????	NULL	NULL
2025-09-24 12:00:00	-61.89	-60.08	1.81	shared_changed	Signal_Kline_Stop_Loss	Signal_Kline_Stop_Loss	KlineHammer_Volume_Confirmed	KlineHammer_Volume_Confirmed
2024-03-20 12:00:00	39.27	41.05	1.77	shared_changed	??????	??????	NULL	NULL
2025-05-19 00:00:00	-59.02	-57.29	1.73	shared_changed	??????	??????	NULL	NULL
2022-10-24 04:00:00	17.05	18.76	1.71	shared_changed	??????	??????	NULL	NULL
2024-02-12 20:00:00	37.33	39.02	1.68	shared_changed	??????	??????	NULL	NULL
2022-07-25 04:00:00	9.44	11.10	1.66	shared_changed	????????	????????	NULL	NULL
2025-12-15 08:00:00	45.36	46.94	1.58	shared_changed	??????????	??????????	NULL	NULL
2025-08-17 20:00:00	-53.05	-51.50	1.56	shared_changed	??????	??????	NULL	NULL
