open_position_time	side_15776	side_15777	pnl_15776	pnl_15777	delta
2021-08-18 20:00:00	long	long	-3.50003248	-3.50003248	0.00000000
2021-08-19 20:00:00	long	long	2.16419050	2.16419050	0.00000000
2021-08-25 16:00:00	short	short	-1.48251856	-1.48251856	0.00000000
2021-08-28 04:00:00	long	long	-1.26690977	-1.26690977	0.00000000
2021-08-29 08:00:00	long	long	1.89711978	1.89711978	0.00000000
2021-08-30 08:00:00	short	short	-2.00325712	-2.00325712	0.00000000
2021-09-02 04:00:00	long	long	1.82392432	1.82392432	0.00000000
2021-09-06 08:00:00	short	short	-1.20980788	-1.20980788	0.00000000
2021-09-06 16:00:00	short	short	-1.01303204	-1.01303204	0.00000000
2021-09-07 04:00:00	short	short	14.49022057	14.49022057	0.00000000
2021-09-08 08:00:00	short	short	-4.47292582	-4.47292582	0.00000000
2021-09-10 12:00:00	short	short	-1.06551379	-1.06551379	0.00000000
2021-09-12 16:00:00	long	long	-3.60262142	-3.60262142	0.00000000
2021-09-15 04:00:00	long	long	3.04885301	3.04885301	0.00000000
2021-09-18 08:00:00	long		-1.62420684	0.00000000	1.62420684
2021-09-20 20:00:00	long	long	-4.15886774	-4.22497295	-0.06610521
2021-09-21 08:00:00	long	long	-3.98960182	-4.05301655	-0.06341473
2021-09-26 08:00:00	short	short	-1.88803048	-1.91804073	-0.03001025
2021-09-26 16:00:00	long	long	-3.75038218	-3.80999452	-0.05961234
2021-09-28 20:00:00	short	short	-2.61763035	-2.65923759	-0.04160724
2021-09-29 20:00:00	short	short	-2.18750256	-2.22227293	-0.03477037
2021-10-01 16:00:00	long	long	6.49398316	6.59720505	0.10322189
2021-10-06 00:00:00	short	short	1.74574609	1.77349473	0.02774864
2021-10-06 20:00:00	long	long	-3.73752970	-3.79693775	-0.05940805
2021-10-07 12:00:00	long	long	-2.38516607	-2.42307829	-0.03791222
2021-10-08 16:00:00	short	short	0.98144144	0.99704145	0.01560001
2021-10-09 20:00:00	short	short	0.64805759	0.65835847	0.01030088
2021-10-10 20:00:00	long		-3.55465659	0.00000000	3.55465659
2021-10-14 04:00:00	long	long	10.26953270	10.87539556	0.60586286
2021-11-02 20:00:00	long	long	-0.11587945	-0.12271589	-0.00683644
2021-11-04 20:00:00	short	short	-2.24575759	-2.37824864	-0.13249105
2021-11-08 08:00:00	long	long	-0.42580456	-0.45092539	-0.02512083
2021-11-11 00:00:00	short	short	1.67696170	1.77589598	0.09893428
2021-11-14 16:00:00	long	long	0.48589335	0.51455919	0.02866584
2021-11-14 20:00:00	short	short	0.69198898	0.73281366	0.04082468
2021-11-15 04:00:00	long	long	1.06709171	1.13004601	0.06295430
2021-11-15 20:00:00	short	short	9.28337079	9.83105390	0.54768311
2021-11-21 00:00:00	long	long	-4.39151571	-4.65059822	-0.25908251
2021-11-29 00:00:00	long	long	8.91535029	9.44132161	0.52597132
2021-12-03 20:00:00	short	short	15.17893570	16.07443443	0.89549873
2021-12-07 04:00:00	long	long	-1.55135908	-1.64288329	-0.09152421
2021-12-08 20:00:00	long	long	-1.31315658	-1.39062776	-0.07747118
2021-12-09 08:00:00	short	short	6.05235707	6.40942282	0.35706575
2021-12-13 00:00:00	long	long	-3.62914721	-3.84325291	-0.21410570
2021-12-13 20:00:00	short	short	-5.03590076	-5.33299950	-0.29709874
2021-12-16 00:00:00	long	long	-4.83093960	-5.11594642	-0.28500682
2021-12-18 08:00:00	long	long	2.83849639	3.00595674	0.16746035
2021-12-21 20:00:00	short	short	-1.47188698	-1.55872264	-0.08683566
2021-12-26 04:00:00	short	short	0.99808205	1.05696504	0.05888299
2021-12-26 08:00:00	short	short	-2.44596881	-2.59027154	-0.14430273
2021-12-27 12:00:00	short	short	-0.85102454	-0.90123171	-0.05020717
2021-12-27 20:00:00	long	long	-0.46313135	-0.49045431	-0.02732296
2021-12-28 00:00:00	short	short	0.73529785	0.77867759	0.04337974
2021-12-31 16:00:00	long	long	-1.81691913	-1.92411035	-0.10719122
2022-01-01 00:00:00	short	short	-4.53350424	-4.80096352	-0.26745928
2022-01-03 20:00:00	short	short	-1.46389814	-1.55026249	-0.08636435
2022-01-06 00:00:00	short	short	5.75239206	6.09176103	0.33936897
2022-01-07 20:00:00	short	short	-3.44142321	-3.64445392	-0.20303071
2022-01-09 00:00:00	short	short	-4.38346639	-4.64207402	-0.25860763
2022-01-10 20:00:00	long	long	9.31557269	9.86515559	0.54958290
2022-01-14 20:00:00	short	short	2.54211693	2.69209203	0.14997510
2022-01-16 20:00:00	long	long	-1.46500094	-1.55143035	-0.08642941
2022-01-19 00:00:00	long	long	-2.45472162	-2.59954073	-0.14481911
2022-01-24 16:00:00	long	long	-3.41557079	-3.61707631	-0.20150552
2022-01-28 04:00:00	long	long	8.69412540	9.20704530	0.51291990
2022-02-03 16:00:00	short	short	-2.26700175	-2.40074612	-0.13374437
2022-02-04 04:00:00	long	long	4.47411535	4.73807092	0.26395557
2022-02-04 12:00:00	short	short	5.01937897	5.31550299	0.29612402
2022-02-07 08:00:00	long	long	-0.10115217	-0.10711976	-0.00596759
