symbol	entered	entry_ts	exit_ts	entry_price	exit_price	exit_reason	gross_r	net_r	max_profit_pct	max_loss_pct	bars	data_warning
rave_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	PRICE_VOLUME_ONLY_MISSING_OI_DEPTH_SECURITY
bianrensheng_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	PRICE_VOLUME_ONLY_MISSING_OI_DEPTH_SECURITY
4_usdt	True	1759842000	1759842600	0.22753	0.21893	STOP_LOSS	-1.0	-1.15	9.8756207972575	-14.569507317716345	4033	PRICE_VOLUME_ONLY_MISSING_OI_DEPTH_SECURITY
palu_usdt	True	1759813800	1759814100	0.05	0.05077	STOP_LOSS	-1.0	-1.15	5.043999999999982	-39.959999999999994	4033	PRICE_VOLUME_ONLY_MISSING_OI_DEPTH_SECURITY
kefuxiaohe_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	PRICE_VOLUME_ONLY_MISSING_OI_DEPTH_SECURITY
xiuxian_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	PRICE_VOLUME_ONLY_MISSING_OI_DEPTH_SECURITY
hajimi_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	PRICE_VOLUME_ONLY_MISSING_OI_DEPTH_SECURITY
broccoli4_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	
bnbholder_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	
ai4_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	
npcz_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	
giggle_usdt	True	1759315200	1759317000	20.54	20.97	TIME_STOP	0.20934761441090557	0.05934761441090558	3.456669912366128	-3.5540408958130487	4033	
