iteration	phase	backtest_id	profit	win_rate	sharpe_ratio	max_drawdown	volatility	open_positions_num	score	beats_profit	beats_win_rate	beats_drawdown	strict_dominator	params_json
1	1	15691	2564.6	0.469283	2.05423	0.34248	0.503611	588	-1162.0956	False	False	True	False	"{""atr_take_profit_ratio"":2.83,""bb_width_threshold"":0.026,""chase_min_body_ratio"":0.57,""extreme_min_body_ratio"":0.64,""extreme_min_move_pct"":0.013,""fib_min_volume_ratio"":2.19,""fib_stop_loss_buffer_ratio"":0.012,""fib_trigger_high"":0.601,""fib_trigger_low"":0.334,""fixed_profit_percent_take_profit"":0.047,""leg_size"":9,""long_threshold"":0.207,""max_loss_percent"":0.038,""min_total_weight"":2.09,""pullback_touch_threshold"":0.053,""rsi_overbought"":86.6,""rsi_oversold"":11.6,""short_threshold"":0.099,""tp_kline_ratio"":0.64,""volume_increase_ratio"":2.78,""weight_bolling"":1.0,""weight_engulfing"":0.86,""weight_fvg"":1.6,""weight_kline_hammer"":0.81,""weight_leg"":0.89}"
2	1	15692	864.26	0.448023	1.15563	0.442637	0.539481	685	-5861.9856	False	False	False	False	"{""atr_take_profit_ratio"":2.81,""bb_width_threshold"":0.03,""chase_min_body_ratio"":0.42,""extreme_min_body_ratio"":0.62,""extreme_min_move_pct"":0.009,""fib_min_volume_ratio"":2.5,""fib_stop_loss_buffer_ratio"":0.013,""fib_trigger_high"":0.656,""fib_trigger_low"":0.294,""fixed_profit_percent_take_profit"":0.057,""leg_size"":6,""long_threshold"":0.159,""max_loss_percent"":0.037,""min_total_weight"":2.14,""pullback_touch_threshold"":0.053,""rsi_overbought"":85.5,""rsi_oversold"":16.0,""short_threshold"":0.08,""tp_kline_ratio"":0.72,""volume_increase_ratio"":2.34,""weight_bolling"":0.8,""weight_engulfing"":0.99,""weight_fvg"":1.46,""weight_kline_hammer"":0.96,""weight_leg"":0.96}"
3	1	15693	3846.45	0.467085	2.26715	0.315802	0.537373	640	564.6129	True	False	True	False	"{""atr_take_profit_ratio"":3.47,""bb_width_threshold"":0.027,""chase_min_body_ratio"":0.46,""extreme_min_body_ratio"":0.6,""extreme_min_move_pct"":0.009,""fib_min_volume_ratio"":1.9,""fib_stop_loss_buffer_ratio"":0.008,""fib_trigger_high"":0.591,""fib_trigger_low"":0.309,""fixed_profit_percent_take_profit"":0.054,""leg_size"":8,""long_threshold"":0.168,""max_loss_percent"":0.042,""min_total_weight"":2.03,""pullback_touch_threshold"":0.041,""rsi_overbought"":83.4,""rsi_oversold"":12.5,""short_threshold"":0.116,""tp_kline_ratio"":0.7,""volume_increase_ratio"":2.41,""weight_bolling"":0.89,""weight_engulfing"":0.99,""weight_fvg"":1.58,""weight_kline_hammer"":0.75,""weight_leg"":0.92}"
4	1	15694	2489.15	0.479624	1.94732	0.370563	0.524634	638	-1208.9527	False	False	True	False	"{""atr_take_profit_ratio"":2.93,""bb_width_threshold"":0.032,""chase_min_body_ratio"":0.55,""extreme_min_body_ratio"":0.7,""extreme_min_move_pct"":0.014,""fib_min_volume_ratio"":2.37,""fib_stop_loss_buffer_ratio"":0.009,""fib_trigger_high"":0.6,""fib_trigger_low"":0.323,""fixed_profit_percent_take_profit"":0.045,""leg_size"":7,""long_threshold"":0.187,""max_loss_percent"":0.039,""min_total_weight"":2.17,""pullback_touch_threshold"":0.035,""rsi_overbought"":84.0,""rsi_oversold"":10.4,""short_threshold"":0.131,""tp_kline_ratio"":0.68,""volume_increase_ratio"":2.73,""weight_bolling"":1.0,""weight_engulfing"":0.94,""weight_fvg"":1.6,""weight_kline_hammer"":1.03,""weight_leg"":0.78}"
5	1	15695	7609.74	0.482443	2.76442	0.388891	0.568742	656	5103.4202	True	False	False	False	"{""atr_take_profit_ratio"":3.42,""bb_width_threshold"":0.029,""chase_min_body_ratio"":0.52,""extreme_min_body_ratio"":0.66,""extreme_min_move_pct"":0.014,""fib_min_volume_ratio"":1.97,""fib_stop_loss_buffer_ratio"":0.008,""fib_trigger_high"":0.591,""fib_trigger_low"":0.331,""fixed_profit_percent_take_profit"":0.06,""leg_size"":8,""long_threshold"":0.192,""max_loss_percent"":0.042,""min_total_weight"":2.06,""pullback_touch_threshold"":0.036,""rsi_overbought"":84.5,""rsi_oversold"":18.0,""short_threshold"":0.1,""tp_kline_ratio"":0.63,""volume_increase_ratio"":2.88,""weight_bolling"":0.92,""weight_engulfing"":1.06,""weight_fvg"":1.6,""weight_kline_hammer"":0.9,""weight_leg"":0.99}"
6	1	15696	3106.82	0.45933	2.16499	0.43018	0.516748	627	-1553.4609	False	False	False	False	"{""atr_take_profit_ratio"":3.04,""bb_width_threshold"":0.028,""chase_min_body_ratio"":0.6,""extreme_min_body_ratio"":0.61,""extreme_min_move_pct"":0.008,""fib_min_volume_ratio"":1.9,""fib_stop_loss_buffer_ratio"":0.01,""fib_trigger_high"":0.648,""fib_trigger_low"":0.358,""fixed_profit_percent_take_profit"":0.057,""leg_size"":8,""long_threshold"":0.174,""max_loss_percent"":0.039,""min_total_weight"":1.9,""pullback_touch_threshold"":0.045,""rsi_overbought"":89.3,""rsi_oversold"":15.0,""short_threshold"":0.133,""tp_kline_ratio"":0.73,""volume_increase_ratio"":2.93,""weight_bolling"":0.91,""weight_engulfing"":0.89,""weight_fvg"":1.61,""weight_kline_hammer"":0.77,""weight_leg"":0.89}"
7	1	15697	1688.11	0.4256	1.57832	0.363437	0.545956	628	-4667.4377	False	False	True	False	"{""atr_take_profit_ratio"":3.1,""bb_width_threshold"":0.022,""chase_min_body_ratio"":0.5,""extreme_min_body_ratio"":0.64,""extreme_min_move_pct"":0.013,""fib_min_volume_ratio"":2.41,""fib_stop_loss_buffer_ratio"":0.007,""fib_trigger_high"":0.664,""fib_trigger_low"":0.327,""fixed_profit_percent_take_profit"":0.051,""leg_size"":7,""long_threshold"":0.182,""max_loss_percent"":0.036,""min_total_weight"":2.18,""pullback_touch_threshold"":0.045,""rsi_overbought"":88.4,""rsi_oversold"":10.6,""short_threshold"":0.105,""tp_kline_ratio"":0.56,""volume_increase_ratio"":2.46,""weight_bolling"":1.02,""weight_engulfing"":0.88,""weight_fvg"":1.36,""weight_kline_hammer"":0.85,""weight_leg"":0.99}"
8	1	15698	3007.41	0.507154	2.1486	0.258891	0.513841	630	1605.8188	False	True	True	False	"{""atr_take_profit_ratio"":3.13,""bb_width_threshold"":0.033,""chase_min_body_ratio"":0.53,""extreme_min_body_ratio"":0.68,""extreme_min_move_pct"":0.014,""fib_min_volume_ratio"":2.5,""fib_stop_loss_buffer_ratio"":0.014,""fib_trigger_high"":0.616,""fib_trigger_low"":0.298,""fixed_profit_percent_take_profit"":0.055,""leg_size"":9,""long_threshold"":0.211,""max_loss_percent"":0.043,""min_total_weight"":2.2,""pullback_touch_threshold"":0.038,""rsi_overbought"":86.5,""rsi_oversold"":11.8,""short_threshold"":0.089,""tp_kline_ratio"":0.6,""volume_increase_ratio"":2.47,""weight_bolling"":1.04,""weight_engulfing"":1.04,""weight_fvg"":1.52,""weight_kline_hammer"":0.99,""weight_leg"":0.83}"
9	1	15699	1143.79	0.482389	1.40043	0.351532	0.512528	654	-3111.7937	False	False	True	False	"{""atr_take_profit_ratio"":2.81,""bb_width_threshold"":0.034,""chase_min_body_ratio"":0.51,""extreme_min_body_ratio"":0.63,""extreme_min_move_pct"":0.016,""fib_min_volume_ratio"":2.4,""fib_stop_loss_buffer_ratio"":0.009,""fib_trigger_high"":0.665,""fib_trigger_low"":0.351,""fixed_profit_percent_take_profit"":0.041,""leg_size"":9,""long_threshold"":0.213,""max_loss_percent"":0.043,""min_total_weight"":1.99,""pullback_touch_threshold"":0.038,""rsi_overbought"":85.4,""rsi_oversold"":11.5,""short_threshold"":0.123,""tp_kline_ratio"":0.71,""volume_increase_ratio"":2.26,""weight_bolling"":0.9,""weight_engulfing"":0.84,""weight_fvg"":1.27,""weight_kline_hammer"":0.93,""weight_leg"":0.86}"
10	1	15700	1272.6	0.460925	1.44649	0.396967	0.522441	630	-4135.9311	False	False	False	False	"{""atr_take_profit_ratio"":2.65,""bb_width_threshold"":0.027,""chase_min_body_ratio"":0.56,""extreme_min_body_ratio"":0.66,""extreme_min_move_pct"":0.009,""fib_min_volume_ratio"":1.96,""fib_stop_loss_buffer_ratio"":0.008,""fib_trigger_high"":0.586,""fib_trigger_low"":0.35,""fixed_profit_percent_take_profit"":0.06,""leg_size"":9,""long_threshold"":0.154,""max_loss_percent"":0.044,""min_total_weight"":1.93,""pullback_touch_threshold"":0.039,""rsi_overbought"":82.0,""rsi_oversold"":13.9,""short_threshold"":0.102,""tp_kline_ratio"":0.72,""volume_increase_ratio"":2.29,""weight_bolling"":0.93,""weight_engulfing"":0.8,""weight_fvg"":1.5,""weight_kline_hammer"":0.97,""weight_leg"":0.8}"
